sum;dependencia;mes
3578025;CENTRO 3-78;agosto
3578025;CENTRO 3-78;julio
3578025;CENTRO 3-78;junio
4931073;CENTRO 3-85;agosto
4931073;CENTRO 3-85;julio
4931073;CENTRO 3-85;junio
1459447;CENTRO 3-86;agosto
1459447;CENTRO 3-86;julio
1459447;CENTRO 3-86;junio
6065643;CENTRO 6-20;agosto
6065643;CENTRO 6-20;julio
6065643;CENTRO 6-20;junio
4931073;CENTRO . 6-35;agosto
4931073;CENTRO . 6-35;julio
4931073;CENTRO . 6-35;junio
2382894;CENTRO . 6-42;agosto
2382894;CENTRO . 6-42;julio
2382894;CENTRO . 6-42;junio
2181894;CENTRO 6-87;agosto
2181894;CENTRO 6-87;julio
2181894;CENTRO 6-87;junio
4775911;CENTRO 7-121;agosto
4775911;CENTRO 7-121;julio
4775911;CENTRO 7-121;junio
5498358;CENTRO 7-136;agosto
5498358;CENTRO 7-136;julio
5498358;CENTRO 7-136;junio
4407411;CENTRO 7-51;agosto
6065643;CENTRO 7-51;julio
6065643;CENTRO 7-51;junio
14356803;CENTRO 7-69;agosto
14356803;CENTRO 7-69;julio
14356803;CENTRO 7-69;junio
1658232;CENTRO 7-91;agosto
1658232;CENTRO 7-91;julio
1658232;CENTRO 7-91;junio
1658232;CENTRO 9-106;agosto
1658232;CENTRO 9-106;julio
1658232;CENTRO 9-106;junio
1090947;CENTRO 9-107;julio
1090947;CENTRO 9-107;junio
6370827;CENTRO . 9-12;agosto
6370827;CENTRO . 9-12;julio
6370827;CENTRO . 9-12;junio
7413739;CENTRO . 9-78;agosto
7413739;CENTRO . 9-78;julio
7413739;CENTRO . 9-78;junio
2749179;CENTRO . 9-8;agosto
2749179;CENTRO . 9-8;julio
2749179;CENTRO . 9-8;junio
9187744;CENTRO . 9-88;agosto
9187744;CENTRO . 9-88;julio
9187744;CENTRO . 9-88;junio
8552721;CENTRO ABIERTO PARA ATENCION A NIÑOS TRAB;agosto
8552721;CENTRO ABIERTO PARA ATENCION A NIÑOS TRAB;julio
8552721;CENTRO ABIERTO PARA ATENCION A NIÑOS TRAB;junio
17018736;CENTRO BAS. BILINGUE 2-96;agosto
17018736;CENTRO BAS. BILINGUE 2-96;julio
17018736;CENTRO BAS. BILINGUE 2-96;junio
21576768;CENTRO CRISTIANO EDUCACIONAL 3744 BETEL;agosto
21576768;CENTRO CRISTIANO EDUCACIONAL 3744 BETEL;julio
21576768;CENTRO CRISTIANO EDUCACIONAL 3744 BETEL;junio
7778319;CENTRO CULTURAL GYMMART;agosto
7778319;CENTRO CULTURAL GYMMART;julio
7778319;CENTRO CULTURAL GYMMART;junio
53751661;CENTRO DE APOYO A LA EDUC. INCLUSIVA Y SOCIAL;agosto
53751661;CENTRO DE APOYO A LA EDUC. INCLUSIVA Y SOCIAL;julio
53751661;CENTRO DE APOYO A LA EDUC. INCLUSIVA Y SOCIAL;junio
4974696;CENTRO DE APOYO A LA INCLUSION MADRE TERESA DE CALCUTA;agosto
3316464;CENTRO DE APOYO A LA INCLUSION MADRE TERESA DE CALCUTA;julio
3316464;CENTRO DE ATENC. INTEG. A LA INF. Y LA FLIA. AJITO;agosto
3316464;CENTRO DE ATENC. INTEG. A LA INF. Y LA FLIA. AJITO;julio
3316464;CENTRO DE ATENC. INTEG. A LA INF. Y LA FLIA. AJITO;junio
1658232;CENTRO DE ATENCION INTEGRAL A LA INFANCIA Y LA FLIA. KO'EJU N° 627;agosto
1658232;CENTRO DE ATENCION INTEGRAL A LA INFANCIA Y LA FLIA. KO'EJU N° 627;julio
1658232;CENTRO DE ATENCION INTEGRAL A LA INFANCIA Y LA FLIA. KO'EJU N° 627;junio
1658232;CENTRO DE ATENCION INTEGRAL A PERSONAS CON DISCAPACIDAD;agosto
1658232;CENTRO DE ATENCION INTEGRAL A PERSONAS CON DISCAPACIDAD;julio
1658232;CENTRO DE ATENCION INTEGRAL A PERSONAS CON DISCAPACIDAD;junio
14656106;CENTRO DE AYUDA AL DISCAPACITADO - CENADE;agosto
14656106;CENTRO DE AYUDA AL DISCAPACITADO - CENADE;julio
12997874;CENTRO DE AYUDA AL DISCAPACITADO - CENADE;junio
12175839;CENTRO DE CAPACITACION AGRICOLA PRIV. SUBV. L;agosto
12175839;CENTRO DE CAPACITACION AGRICOLA PRIV. SUBV. L;julio
12175839;CENTRO DE CAPACITACION AGRICOLA PRIV. SUBV. L;junio
226887629;CENTRO DE CAPACITACION TECNICA;agosto
225199451;CENTRO DE CAPACITACION TECNICA;julio
223151137;CENTRO DE CAPACITACION TECNICA;junio
4195998;CENTRO DE EDUC. 11-377 OSCAR D. SANTA CRUZ;agosto
3105051;CENTRO DE EDUC. 11-377 OSCAR D. SANTA CRUZ;julio
3105051;CENTRO DE EDUC. 11-377 OSCAR D. SANTA CRUZ;junio
1090947;CENTRO DE EDUCACION BASICA PARA PERSONAS JOVENES Y ADULTAS;agosto
1658232;CENTRO DE EDUCACION BILINGUE DE JOVENES Y ADU;agosto
1658232;CENTRO DE EDUCACION BILINGUE DE JOVENES Y ADU;julio
1658232;CENTRO DE EDUCACION BILINGUE DE JOVENES Y ADU;junio
1658232;CENTRO DE EDUCACION DE JOVENES Y ADULTOS Nº 3-120;agosto
1658232;CENTRO DE EDUCACION DE JOVENES Y ADULTOS Nº 3-120;julio
1658232;CENTRO DE EDUCACION DE JOVENES Y ADULTOS Nº 3-120;junio
1658232;CENTRO DE EDUCACION DE JOV. Y ADUTOS 9-113;agosto
1658232;CENTRO DE EDUCACION DE JOV. Y ADUTOS 9-113;julio
1658232;CENTRO DE EDUCACION DE JOV. Y ADUTOS 9-113;junio
23738910;CENTRO DE EDUCACION ESPECIAL AMOR Y ESPERANZA;agosto
23738910;CENTRO DE EDUCACION ESPECIAL AMOR Y ESPERANZA;julio
23738910;CENTRO DE EDUCACION ESPECIAL AMOR Y ESPERANZA;junio
4974696;CENTRO DE EDUCACION ESPECIAL AMOR Y VIDA;agosto
4974696;CENTRO DE EDUCACION ESPECIAL AMOR Y VIDA;julio
4974696;CENTRO DE EDUCACION ESPECIAL AMOR Y VIDA;junio
12575112;CENTRO DE EDUCACION FAMILIAR AGRICOLA;agosto
12575112;CENTRO DE EDUCACION FAMILIAR AGRICOLA;julio
12876612;CENTRO DE EDUCACION FAMILIAR AGRICOLA;junio
43317770;CENTRO DE EDUCACION INTEGRAL DE LUQUE;agosto
40001306;CENTRO DE EDUCACION INTEGRAL DE LUQUE;julio
39850556;CENTRO DE EDUCACION INTEGRAL DE LUQUE;junio
1090947;CENTRO DE EDUCACION PERMANENTE DE J Y A;junio
6632928;CENTRO DE EDUC. BAS. PARA PERSONAS JOVENES Y ADULTAS PADRE JUAN A. DE LA VEGA;agosto
6632928;CENTRO DE EDUC. BAS. PARA PERSONAS JOVENES Y ADULTAS PADRE JUAN A. DE LA VEGA;julio
6632928;CENTRO DE EDUC. BAS. PARA PERSONAS JOVENES Y ADULTAS PADRE JUAN A. DE LA VEGA;junio
1658232;CENTRO DE EDUC. DE JOVENES Y ADULTOS N° 10-152;agosto
6802679;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 11-415 UNIDA LA CONQUISTA;agosto
6802679;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 11-415 UNIDA LA CONQUISTA;julio
6802679;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 11-415 UNIDA LA CONQUISTA;junio
1090947;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 149;agosto
1090947;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 149;julio
1090947;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 149;junio
305184;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 155;agosto
305184;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 155;julio
305184;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 155;junio
3621648;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 157;agosto
3621648;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 157;julio
3621648;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 157;junio
1658232;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 17-26;agosto
1658232;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 17-26;julio
1658232;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº 17-26;junio
3840126;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº           9-107;agosto
2749179;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº           9-107;julio
2749179;CENTRO DE EDUC. DE JOVENES Y ADULTOS Nº           9-107;junio
150750;CENTRO DE EDUC. DE JOVENES Y ADULTOS S/N;agosto
150750;CENTRO DE EDUC. DE JOVENES Y ADULTOS S/N;julio
150750;CENTRO DE EDUC. DE JOVENES Y ADULTOS S/N;junio
4407411;CENTRO DE EDUC. DE JOV. Y ADULT. 11-408;agosto
4407411;CENTRO DE EDUC. DE JOV. Y ADULT. 11-408;julio
4407411;CENTRO DE EDUC. DE JOV. Y ADULT. 11-408;junio
18596424;CENTRO DE EDUC. ESP. A.P.A.D.I.C.A.;agosto
16938192;CENTRO DE EDUC. ESP. A.P.A.D.I.C.A.;julio
18596424;CENTRO DE EDUC. ESP. A.P.A.D.I.C.A.;junio
14466320;CENTRO DE EDUC. ESP. DANIEL ROTELA SALINAS;agosto
14466320;CENTRO DE EDUC. ESP. DANIEL ROTELA SALINAS;julio
14466320;CENTRO DE EDUC. ESP. DANIEL ROTELA SALINAS;junio
19531691;CENTRO DE EDUC. ESPECIAL DE BENJAMIN ACEVAL;agosto
19531691;CENTRO DE EDUC. ESPECIAL DE BENJAMIN ACEVAL;julio
22280870;CENTRO DE EDUC. ESPECIAL DE BENJAMIN ACEVAL;junio
8592660;CENTRO DE EDUC. ESPECIAL KO'E PYAHU;agosto
8592660;CENTRO DE EDUC. ESPECIAL KO'E PYAHU;julio
8592660;CENTRO DE EDUC. ESPECIAL KO'E PYAHU;junio
3316464;CENTRO DE EDUC. ESPEC. NUESTRA SRA. DEL ROSAR;agosto
3316464;CENTRO DE EDUC. ESPEC. NUESTRA SRA. DEL ROSAR;julio
3316464;CENTRO DE EDUC. ESPEC. NUESTRA SRA. DEL ROSAR;junio
13265856;CENTRO DE EDUC. ESPEC. SAN VICENTE DE PAUL;agosto
13265856;CENTRO DE EDUC. ESPEC. SAN VICENTE DE PAUL;julio
13265856;CENTRO DE EDUC. ESPEC. SAN VICENTE DE PAUL;junio
20225586;CENTRO DE EDUC.ESP.INTEGRAL OBRA DON GUANELLA;agosto
20225586;CENTRO DE EDUC.ESP.INTEGRAL OBRA DON GUANELLA;julio
20225586;CENTRO DE EDUC.ESP.INTEGRAL OBRA DON GUANELLA;junio
3316464;CENTRO DE EDUC.ESP.INT. MARIA DE LOS ANGELES;agosto
3316464;CENTRO DE EDUC.ESP.INT. MARIA DE LOS ANGELES;julio
3316464;CENTRO DE EDUC.ESP.INT. MARIA DE LOS ANGELES;junio
24662067;CENTRO DE EDUC. ESP. SAN MIGUEL;agosto
24662067;CENTRO DE EDUC. ESP. SAN MIGUEL;julio
24662067;CENTRO DE EDUC. ESP. SAN MIGUEL;junio
1658232;CENTRO DE EDUC. J. Y ADULTOS;agosto
1658232;CENTRO DE EDUC. J. Y ADULTOS;julio
1658232;CENTRO DE EDUC. J. Y ADULTOS;junio
3316482;CENTRO DE EDUC. MEDIA PARA PERSONAS JOVENES Y ADULTAS N° 186;agosto
3316482;CENTRO DE EDUC. MEDIA PARA PERSONAS JOVENES Y ADULTAS N° 186;julio
3316482;CENTRO DE EDUC. MEDIA PARA PERSONAS JOVENES Y ADULTAS N° 186;junio
2177500;CENTRO DE EDUC. MEDIA PARA PERSONAS JOVENES Y ADULTAS N° 187;agosto
3048500;CENTRO DE EDUC. MEDIA PARA PERSONAS JOVENES Y ADULTAS Nº 169 VIRGEN DE FATIMA;agosto
3048500;CENTRO DE EDUC. MEDIA PARA PERSONAS JOVENES Y ADULTAS Nº 169 VIRGEN DE FATIMA;julio
3048500;CENTRO DE EDUC. MEDIA PARA PERSONAS JOVENES Y ADULTAS Nº 169 VIRGEN DE FATIMA;junio
1396131;CENTRO DE EDUC. PERMANENTE DE JOV. Y ADULTOS;agosto
1396131;CENTRO DE EDUC. PERMANENTE DE JOV. Y ADULTOS;julio
1396131;CENTRO DE EDUC. PERMANENTE DE JOV. Y ADULTOS;junio
4974696;CENTRO DE ENS. DE HAB.P/LA VIDA DIARIA;agosto
4974696;CENTRO DE ENS. DE HAB.P/LA VIDA DIARIA;julio
4974696;CENTRO DE ENS. DE HAB.P/LA VIDA DIARIA;junio
8291160;CENTRO DE ENSEÑANZA DE APOYO INTEGRAL PRIV. SUBV. YO REINARE DIVINO NIÑO JESUS;agosto
8291160;CENTRO DE ENSEÑANZA DE APOYO INTEGRAL PRIV. SUBV. YO REINARE DIVINO NIÑO JESUS;julio
8291160;CENTRO DE ENSEÑANZA DE APOYO INTEGRAL PRIV. SUBV. YO REINARE DIVINO NIÑO JESUS;junio
1645184;CENTRO DE ENS. PROF. FLORIDEÑO;agosto
1645184;CENTRO DE ENS. PROF. FLORIDEÑO;julio
1645184;CENTRO DE ENS. PROF. FLORIDEÑO;junio
237253787;CENTRO DE ENT.VOC. PDTE. CARLOS A. LOPEZ;agosto
235679287;CENTRO DE ENT.VOC. PDTE. CARLOS A. LOPEZ;julio
233509687;CENTRO DE ENT.VOC. PDTE. CARLOS A. LOPEZ;junio
6632928;CENTRO DE FORMAC. INT. PARA PERSONAS CIEGAS;agosto
6632928;CENTRO DE FORMAC. INT. PARA PERSONAS CIEGAS;julio
6632928;CENTRO DE FORMAC. INT. PARA PERSONAS CIEGAS;junio
3333232;CENTRO DE FORMACION INTEGRAL GUMERSINDO FER;agosto
3333232;CENTRO DE FORMACION INTEGRAL GUMERSINDO FER;julio
3333232;CENTRO DE FORMACION INTEGRAL GUMERSINDO FER;junio
11357607;CENTRO DE FORM. INTEG. PARA PERSONAS CIEGAS;agosto
11357607;CENTRO DE FORM. INTEG. PARA PERSONAS CIEGAS;julio
11357607;CENTRO DE FORM. INTEG. PARA PERSONAS CIEGAS;junio
13433374;CENTRO DE FORM. INTEG. P/ PERS. CIEGAS Y DEF.;agosto
13433374;CENTRO DE FORM. INTEG. P/ PERS. CIEGAS Y DEF.;julio
13433374;CENTRO DE FORM. INTEG. P/ PERS. CIEGAS Y DEF.;junio
21955312;CENTRO DE FORM. LABORAL P/ PERS.DISCAPAC.;agosto
21955312;CENTRO DE FORM. LABORAL P/ PERS.DISCAPAC.;julio
16980616;CENTRO DE FORM. LABORAL P/ PERS.DISCAPAC.;junio
1658232;CENTRO DE INFORMACION Y ATENCION A LA CIUDADANIA (CIAC);agosto
1658232;CENTRO DE INFORMACION Y ATENCION A LA CIUDADANIA (CIAC);julio
1658232;CENTRO DE INFORMACION Y ATENCION A LA CIUDADANIA (CIAC);junio
16454880;CENTRO DE INVESTIGACION E INNOVACION EDUCATIVA - CIIE;agosto
16454880;CENTRO DE INVESTIGACION E INNOVACION EDUCATIVA - CIIE;julio
11748946;CENTRO DE INVESTIGACION E INNOVACION EDUCATIVA - CIIE;junio
1658232;CENTRO DE JOVENES Y ADULTOS 3-114;agosto
1658232;CENTRO DE JOVENES Y ADULTOS 3-114;julio
1658232;CENTRO DE JOVENES Y ADULTOS 3-114;junio
7047896;CENTRO DE PROMOCION TECNICA;agosto
7047896;CENTRO DE PROMOCION TECNICA;julio
7047896;CENTRO DE PROMOCION TECNICA;junio
78724208;CENTRO DE RECURSOS DE EDUCACION ESPECIAL;agosto
70667530;CENTRO DE RECURSOS DE EDUCACION ESPECIAL;julio
70667530;CENTRO DE RECURSOS DE EDUCACION ESPECIAL;junio
1090947;CENTRO DE RECURSOS DE EDUCACION ESPECIAL 4;agosto
1090947;CENTRO DE RECURSOS DE EDUCACION ESPECIAL 4;julio
1090947;CENTRO DE RECURSOS DE EDUCACION ESPECIAL 4;junio
22897070;CENTRO DE RECURSOS PARA LA EDUCACION PERMANENTE Nº 11;agosto
10736642;CENTRO DE RECURSOS PARA LA EDUCACION PERMANENTE Nº 11;julio
10736642;CENTRO DE RECURSOS PARA LA EDUCACION PERMANENTE Nº 11;junio
3316464;CENTRO DE RECURSOS PARA LA EDUCACION PERMANENTE Nº 2 SAN PEDRO;agosto
1658232;CENTRO DE RECURSOS PARA LA EDUCACION PERMANENTE Nº 2 SAN PEDRO;julio
1658232;CENTRO DE RECURSOS PARA LA EDUCACION PERMANENTE Nº 2 SAN PEDRO;junio
6906827;CENTRO DE RECURSOS PARA LA EDUC. PERM. 6;agosto
6906827;CENTRO DE RECURSOS PARA LA EDUC. PERM. 6;julio
6906827;CENTRO DE RECURSOS PARA LA EDUC. PERM. 6;junio
10433548;CENTRO DE RECURSOS PARA LA EDUC. PERMANENTE;agosto
10433548;CENTRO DE RECURSOS PARA LA EDUC. PERMANENTE;julio
10433548;CENTRO DE RECURSOS PARA LA EDUC. PERMANENTE;junio
11040339;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE 1;agosto
11040339;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE 1;julio
11040339;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE 1;junio
2144000;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 1;agosto
2144000;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 1;julio
2144000;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 1;junio
737000;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 10;agosto
737000;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 10;julio
737000;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 10;junio
32274327;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 5;agosto
32274327;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 5;julio
32274327;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 5;junio
6065643;CENTRO DE RECURSOS P/ LA EDUC. PERMANENTE Nº 8 SAN JUAN B. DE LAS MISIONES;agosto
6065643;CENTRO DE RECURSOS P/ LA EDUC. PERMANENTE Nº 8 SAN JUAN B. DE LAS MISIONES;julio
6065643;CENTRO DE RECURSOS P/ LA EDUC. PERMANENTE Nº 8 SAN JUAN B. DE LAS MISIONES;junio
8778223;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 9;agosto
8778223;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 9;julio
8778223;CENTRO DE RECURSOS P/LA EDUC. PERMANENTE Nº 9;junio
4974696;CENTRO DE RECURSOS RAYITO DE LUZ;agosto
4974696;CENTRO DE RECURSOS RAYITO DE LUZ;julio
4974696;CENTRO DE RECURSOS RAYITO DE LUZ;junio
20271706;CENTRO DE REHAB.DEL NIÑO IMPED.FISICO-CERENIF;agosto
20271706;CENTRO DE REHAB.DEL NIÑO IMPED.FISICO-CERENIF;julio
20271706;CENTRO DE REHAB.DEL NIÑO IMPED.FISICO-CERENIF;junio
